Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Javonte Smart,2022,2024,G,6-4,205.0,"June 3, 1999",LSU
Marcus Smart,2015,2024,G,6-3,220.0,"March 6, 1994",Oklahoma State
Chris Smith,2014,2014,G,6-2,200.0,"October 13, 1987","Manhattan College, Louisville"
Craig Smith,2007,2012,F,6-7,250.0,"November 10, 1983",Boston College
Dennis Smith Jr.,2018,2024,G,6-2,205.0,"November 25, 1997",NC State
Dru Smith,2023,2024,G,6-3,203.0,"December 30, 1997","University of Evansville, Missouri"
Greg Smith,2012,2016,C,6-10,250.0,"January 8, 1991",Fresno State
Ish Smith,2011,2024,G,6-0,175.0,"July 5, 1988",Wake Forest
J.R. Smith,2005,2020,G-F,6-6,225.0,"September 9, 1985",
Jabari Smith Jr.,2023,2024,F,6-11,220.0,"May 13, 2003",Auburn
Jalen Smith,2021,2024,F,6-10,215.0,"March 16, 2000",Maryland
Jason Smith,2008,2019,F-C,7-0,240.0,"March 2, 1986",Colorado State
Jerry Smith,2012,2012,G,6-2,190.0,"September 26, 1987",Louisville
Joe Smith,1996,2011,F,6-10,225.0,"July 26, 1975",Maryland
Josh Smith,2005,2018,F,6-9,225.0,"December 5, 1985",
Nick Smith Jr.,2024,2024,G,6-5,185.0,"April 18, 2004",Arkansas
Nolan Smith,2012,2013,G,6-2,185.0,"July 25, 1988",Duke
Russ Smith,2015,2016,G,6-0,165.0,"April 19, 1991",Louisville
Terquavion Smith,2024,2024,G,6-4,165.0,"December 31, 2002",NC State
Zhaire Smith,2019,2020,G,6-3,205.0,"June 4, 1999",Texas Tech
Xavier Sneed,2022,2023,F,6-5,215.0,"December 21, 1997",Kansas State
Tony Snell,2014,2022,G-F,6-6,213.0,"November 10, 1991",New Mexico
Jeremy Sochan,2023,2024,F-G,6-8,230.0,"May 20, 2003",Baylor
Darius Songaila,2004,2011,F,6-9,248.0,"February 14, 1978",Wake Forest
James Southerland,2014,2014,F,6-8,215.0,"April 28, 1990",Syracuse
Ray Spalding,2019,2021,F,6-10,215.0,"March 11, 1997",Louisville
Marreese Speights,2009,2018,C-F,6-10,255.0,"August 4, 1987",Florida
Omari Spellman,2019,2020,F,6-8,245.0,"July 21, 1997",Villanova
Pat Spencer,2024,2024,G,6-3,205.0,"July 4, 1996","Loyola (MD), Northwestern"
Tiago Splitter,2011,2017,F-C,6-11,245.0,"January 1, 1985",
Jaden Springer,2022,2024,G,6-4,204.0,"September 25, 2002",Tennessee
Jerry Stackhouse,1996,2013,G-F,6-6,218.0,"November 5, 1974",UNC
Cassius Stanley,2021,2022,G,6-5,190.0,"August 18, 1999",Duke
Nik Stauskas,2015,2022,G,6-6,205.0,"October 7, 1993",Michigan
D.J. Stephens,2014,2019,G-F,6-5,188.0,"December 19, 1990",Memphis
Lance Stephenson,2011,2022,G-F,6-6,230.0,"September 5, 1990",Cincinnati
Alex Stepheson,2016,2016,F,6-10,270.0,"August 7, 1987","UNC, USC"
Lamar Stevens,2021,2024,F,6-6,230.0,"July 9, 1997",Penn State
DeShawn Stevenson,2001,2013,G,6-5,210.0,"April 3, 1981",
Isaiah Stewart,2021,2024,F-C,6-8,250.0,"May 22, 2001",Washington
Greg Stiemsma,2012,2015,C,6-11,260.0,"September 26, 1985",Wisconsin
David Stockton,2015,2018,G,5-11,165.0,"June 24, 1991",Gonzaga
Peja Stojaković,1999,2011,F,6-10,229.0,"June 9, 1977",
Jarnell Stokes,2015,2017,F-C,6-9,263.0,"January 7, 1994",Tennessee
Diamond Stone,2017,2017,C,6-11,255.0,"February 10, 1997",Maryland
Julyan Stone,2012,2018,G,6-6,200.0,"December 7, 1988",Texas-El Paso
Amar'e Stoudemire,2003,2016,F-C,6-10,245.0,"November 16, 1982",
Julian Strawther,2024,2024,F,6-7,205.0,"April 18, 2002",Gonzaga
Max Strus,2020,2024,G,6-5,215.0,"March 28, 1996","Lewis (IL), DePaul"
Rodney Stuckey,2008,2017,G,6-5,210.0,"April 21, 1986",Eastern Washington
Jalen Suggs,2022,2024,G,6-5,205.0,"June 3, 2001",Gonzaga
Jared Sullinger,2013,2017,F,6-9,260.0,"March 4, 1992",Ohio State
DaJuan Summers,2010,2013,F,6-8,230.0,"January 24, 1988",Georgetown
Edmond Sumner,2018,2023,G,6-4,196.0,"December 31, 1995",Xavier
Caleb Swanigan,2018,2020,F,6-9,260.0,"April 18, 1997",Purdue
Cole Swider,2023,2024,F,6-9,220.0,"May 8, 1999","Villanova, Syracuse"
Craig Sword,2022,2022,G,6-3,196.0,"January 16, 1994",Mississippi State
Pape Sy,2011,2011,F,6-7,225.0,"April 5, 1988",
Keifer Sykes,2022,2022,G,6-0,180.0,"December 30, 1993",Green Bay
Jae'Sean Tate,2021,2024,F,6-4,230.0,"October 28, 1995",Ohio State
Jayson Tatum,2018,2024,F,6-8,210.0,"March 3, 1998",Duke
Edy Tavares,2016,2017,C,7-3,260.0,"March 22, 1992",
Isaiah Taylor,2017,2018,G,6-3,170.0,"July 11, 1994",Texas
Jeff Taylor,2013,2015,F,6-7,225.0,"May 23, 1989",Vanderbilt
Jermaine Taylor,2010,2011,G,6-4,210.0,"December 8, 1986",Central Florida
Terry Taylor,2022,2024,G-F,6-5,230.0,"September 23, 1999",Austin Peay State University
Tyshawn Taylor,2013,2014,G,6-3,185.0,"April 12, 1990",Kansas
Jeff Teague,2010,2021,G,6-3,195.0,"June 10, 1988",Wake Forest
Marquis Teague,2013,2018,G,6-2,189.0,"February 28, 1993",Kentucky
Mirza Teletović,2013,2018,F,6-9,242.0,"September 18, 1985",
Sebastian Telfair,2005,2015,G,6-0,165.0,"June 9, 1985",
Garrett Temple,2010,2024,G,6-5,195.0,"May 8, 1986",LSU
Miloš Teodosić,2018,2019,G,6-5,196.0,"March 19, 1987",
Jared Terrell,2019,2019,G,6-3,227.0,"February 10, 1995",Rhode Island
Dalen Terry,2023,2024,G,6-7,195.0,"July 12, 2002",Arizona
Emanuel Terry,2019,2022,F,6-9,220.0,"August 21, 1996",Lincoln Memorial
Jason Terry,2000,2018,G,6-2,185.0,"September 15, 1977",Arizona
Tyrell Terry,2021,2022,G,6-2,160.0,"September 28, 2000",Stanford
Jon Teske,2022,2022,C,7-1,265.0,"May 4, 1997",Michigan
Hasheem Thabeet,2010,2014,C,7-3,263.0,"February 16, 1987",UConn
Daniel Theis,2018,2024,C,6-8,245.0,"April 4, 1992",
Adonis Thomas,2014,2014,F,6-7,200.0,"March 25, 1993",Memphis
Brodric Thomas,2021,2022,G,6-5,185.0,"January 28, 1997",Truman State University
Cam Thomas,2022,2024,G,6-4,210.0,"October 13, 2001",LSU
Etan Thomas,2002,2011,F,6-9,256.0,"April 1, 1978",Syracuse
Isaiah Thomas,2012,2024,G,5-9,185.0,"February 7, 1989",Washington
Khyri Thomas,2019,2021,G,6-3,210.0,"May 8, 1996",Creighton
Kurt Thomas,1996,2013,F,6-9,230.0,"October 4, 1972",TCU
Lance Thomas,2012,2020,F,6-8,240.0,"April 24, 1988",Duke
Malcolm Thomas,2012,2015,F,6-9,225.0,"November 8, 1988","Pepperdine, San Diego State"
Matt Thomas,2020,2022,G,6-4,190.0,"August 4, 1994",Iowa State
Tyrus Thomas,2007,2015,F,6-9,215.0,"August 17, 1986",LSU
Trey Thompkins,2012,2012,F,6-10,245.0,"May 20, 1990",Georgia
Amen Thompson,2024,2024,G,6-7,209.0,"January 30, 2003",
Ausar Thompson,2024,2024,G,6-7,215.0,"January 30, 2003",
Hollis Thompson,2014,2017,G-F,6-8,206.0,"April 3, 1991",Georgetown
Jason Thompson,2009,2016,F-C,6-11,250.0,"July 21, 1986",Rider University
Klay Thompson,2012,2024,G-F,6-6,215.0,"February 8, 1990",Washington State
Mychel Thompson,2012,2012,G,6-6,211.0,"June 1, 1988",Pepperdine
Tristan Thompson,2012,2024,F-C,6-9,254.0,"March 13, 1991",Texas
JT Thor,2022,2024,F,6-10,205.0,"August 26, 2002",Auburn
Al Thornton,2008,2011,F,6-8,220.0,"December 7, 1983",Florida State
Marcus Thornton,2010,2017,G,6-4,205.0,"June 5, 1987",LSU
Sindarius Thornwell,2018,2021,G,6-4,215.0,"November 15, 1994",South Carolina
Matisse Thybulle,2020,2024,G,6-5,201.0,"March 4, 1997",Washington
Killian Tillie,2021,2022,F,6-9,220.0,"March 5, 1998",Gonzaga
Xavier Tillman Sr.,2021,2024,F,6-8,245.0,"January 12, 1999",Michigan State
Jamaal Tinsley,2002,2014,G,6-3,195.0,"February 28, 1978",Iowa State
Mike Tobey,2017,2017,C,7-0,260.0,"October 10, 1994",Virginia
Isaiah Todd,2022,2023,F,6-10,220.0,"October 17, 2001",
Anthony Tolliver,2009,2021,F-C,6-8,240.0,"June 1, 1985",Creighton
Jacob Toppin,2024,2024,F,6-9,205.0,"May 8, 2000","Rhode Island, Kentucky"
Obi Toppin,2021,2024,F,6-9,220.0,"March 4, 1998",Dayton
Juan Toscano-Anderson,2020,2024,F,6-6,209.0,"April 10, 1993",Marquette
Axel Toupane,2016,2021,G-F,6-7,197.0,"July 23, 1992",
Karl-Anthony Towns,2016,2024,C-F,7-0,248.0,"November 15, 1995",Kentucky
Gary Trent Jr.,2019,2024,G,6-5,209.0,"January 18, 1999",Duke
Allonzo Trier,2019,2020,G,6-4,200.0,"January 17, 1996",Arizona
Oscar Tshiebwe,2024,2024,F,6-9,260.0,"November 27, 1999","West Virginia, Kentucky"
P.J. Tucker,2007,2024,F,6-5,245.0,"May 5, 1985",Texas
Rayjon Tucker,2020,2022,F,6-3,209.0,"September 24, 1997","Florida Gulf Coast, Little Rock"
Ronny Turiaf,2006,2015,F,6-10,249.0,"January 13, 1983",Gonzaga
Hedo Türkoğlu,2001,2015,F,6-10,220.0,"March 19, 1979",
Evan Turner,2011,2020,G,6-6,220.0,"October 27, 1988",Ohio State
Myles Turner,2016,2024,C-F,6-11,250.0,"March 24, 1996",Texas
Jeremy Tyler,2012,2014,C,6-10,260.0,"June 21, 1991",
Hunter Tyson,2024,2024,F,6-8,215.0,"June 13, 2000",Clemson
Edwin Ubiles,2012,2012,G,6-6,204.0,"November 26, 1986",Siena College
Ekpe Udoh,2011,2019,C-F,6-10,245.0,"May 20, 1987","Michigan, Baylor"
Ime Udoka,2004,2011,F,6-6,215.0,"August 9, 1977","San Francisco, Portland State"
Beno Udrih,2005,2017,G,6-3,205.0,"July 5, 1982",
Tyler Ulis,2017,2019,G,5-10,160.0,"January 5, 1996",Kentucky
Stanley Umude,2023,2024,G,6-6,210.0,"April 12, 1999","South Dakota, Arkansas"
Jarrod Uthoff,2017,2020,F,6-9,221.0,"May 19, 1993",Iowa
Ben Uzoh,2011,2012,G,6-3,205.0,"March 19, 1988",Tulsa
Jonas Valančiūnas,2013,2024,C,6-11,265.0,"May 6, 1992",
Denzel Valentine,2017,2022,G,6-4,220.0,"November 16, 1993",Michigan State
Fred VanVleet,2017,2024,G,6-0,197.0,"February 25, 1994",Wichita State
Jarred Vanderbilt,2019,2024,F,6-8,214.0,"April 3, 1999",Kentucky
Anderson Varejão,2005,2021,F-C,6-11,273.0,"September 28, 1982",
Jarvis Varnado,2013,2014,F,6-9,230.0,"March 1, 1988",Mississippi State
Greivis Vásquez,2011,2017,G,6-6,217.0,"January 16, 1987",Maryland
Devin Vassell,2021,2024,G-F,6-5,200.0,"August 23, 2000",Florida State
Rashad Vaughn,2016,2018,G,6-6,202.0,"August 16, 1996",UNLV
Jan Veselý,2012,2014,F,6-11,240.0,"April 24, 1990",
Sasha Vezenkov,2024,2024,F,6-9,225.0,"August 6, 1995",
Charlie Villanueva,2006,2016,F,6-11,232.0,"August 24, 1984",UConn
Gabe Vincent,2020,2024,G,6-3,195.0,"June 14, 1996",UC Santa Barbara
Noah Vonleh,2015,2023,F-C,6-10,257.0,"August 24, 1995",Indiana
Nikola Vučević,2012,2024,C,6-10,260.0,"October 24, 1990",USC
Sasha Vujačić,2005,2017,G,6-7,195.0,"March 8, 1984",
Tristan Vukcevic,2024,2024,F-C,7-0,223.0,"March 11, 2003",
Dean Wade,2020,2024,F,6-9,228.0,"November 20, 1996",Kansas State
Dwyane Wade*,2004,2019,G,6-4,220.0,"January 17, 1982",Marquette
Von Wafer,2006,2012,G,6-5,210.0,"July 21, 1985",Florida State
Franz Wagner,2022,2024,G-F,6-10,225.0,"August 27, 2001",Michigan
Moritz Wagner,2019,2024,F-C,6-11,245.0,"April 26, 1997",Michigan
Ish Wainright,2022,2024,F,6-6,250.0,"September 12, 1994",Baylor
Dion Waiters,2013,2020,G,6-3,215.0,"December 10, 1991",Syracuse
Henry Walker,2009,2015,F,6-6,220.0,"October 9, 1987",Kansas State
Jabari Walker,2023,2024,F,6-9,215.0,"July 30, 2002",Colorado
Jarace Walker,2024,2024,F,6-8,240.0,"September 4, 2003",Houston
Kemba Walker,2012,2023,G,6-0,184.0,"May 8, 1990",UConn
Lonnie Walker IV,2019,2024,G,6-4,204.0,"December 14, 1998",Miami (FL)
M.J. Walker,2022,2022,G,6-5,213.0,"March 28, 1998",Florida State
John Wall,2011,2023,G,6-3,210.0,"September 6, 1990",Kentucky
Ben Wallace*,1997,2012,F-C,6-9,240.0,"September 10, 1974",Virginia Union University
Cason Wallace,2024,2024,G,6-4,193.0,"November 7, 2003",Kentucky
Gerald Wallace,2002,2015,F,6-7,215.0,"July 23, 1982",Alabama
Rasheed Wallace,1996,2013,F-C,6-11,225.0,"September 17, 1974",UNC
Tyrone Wallace,2018,2022,G,6-5,198.0,"June 10, 1994",California
Jordan Walsh,2024,2024,G-F,6-7,205.0,"March 3, 2004",Arkansas
Derrick Walton,2018,2022,G,6-0,189.0,"April 3, 1995",Michigan
Luke Walton,2004,2013,F,6-8,235.0,"March 28, 1980",Arizona
Brad Wanamaker,2019,2022,G,6-3,210.0,"July 25, 1989",Pitt
Casper Ware,2014,2014,G,5-10,175.0,"January 17, 1990",Cal State Long Beach
Jameel Warney,2018,2018,F,6-8,260.0,"January 31, 1994",Stony Brook University
T.J. Warren,2015,2024,F,6-8,220.0,"September 5, 1993",NC State
Willie Warren,2011,2011,G,6-4,203.0,"October 22, 1989",Oklahoma
Hakim Warrick,2006,2013,F,6-9,219.0,"July 8, 1982",Syracuse
Julian Washburn,2019,2019,F,6-8,210.0,"December 18, 1991",Texas-El Paso
Duane Washington Jr.,2022,2023,G,6-3,210.0,"March 24, 2000",Ohio State
P.J. Washington,2020,2024,F,6-7,230.0,"August 23, 1998",Kentucky
TyTy Washington Jr.,2023,2024,G,6-3,197.0,"November 15, 2001",Kentucky
Yuta Watanabe,2019,2024,F,6-9,215.0,"October 13, 1994",George Washington
Lindy Waters III,2022,2024,G,6-6,215.0,"July 28, 1997",Oklahoma State
Tremont Waters,2020,2022,G,5-10,175.0,"January 10, 1998",LSU
Trendon Watford,2022,2024,F,6-9,240.0,"November 9, 2000",LSU
Darryl Watkins,2008,2012,C,6-11,258.0,"November 8, 1984",Syracuse
C.J. Watson,2008,2017,G,6-2,175.0,"April 17, 1984",Tennessee
Earl Watson,2002,2014,G,6-1,195.0,"June 12, 1979",UCLA
Paul Watson,2020,2022,G,6-6,210.0,"December 30, 1994",Fresno State
Peyton Watson,2023,2024,G-F,6-8,200.0,"September 11, 2002",UCLA
Maalik Wayns,2013,2014,G,6-2,200.0,"May 2, 1991",Villanova
David Wear,2015,2015,F,6-10,230.0,"September 21, 1990","UNC, UCLA"
Travis Wear,2015,2018,F,6-10,230.0,"September 21, 1990","UNC, UCLA"
Quinndary Weatherspoon,2020,2022,G,6-3,205.0,"September 10, 1996",Mississippi State
Kyle Weaver,2009,2011,G,6-6,201.0,"February 18, 1986",Washington State
James Webb III,2018,2018,F,6-9,202.0,"August 19, 1993",Boise State
Briante Weber,2016,2018,G,6-2,165.0,"December 29, 1992",VCU
Martell Webster,2006,2015,G-F,6-7,230.0,"December 4, 1986",
Sonny Weems,2009,2016,G-F,6-6,205.0,"July 8, 1986",Arkansas
Thomas Welsh,2019,2019,C,7-0,255.0,"February 3, 1996",UCLA
Victor Wembanyama,2024,2024,C-F,7-4,209.0,"January 4, 2004",
Blake Wesley,2023,2024,G,6-5,185.0,"March 16, 2003",Notre Dame
David West,2004,2018,F-C,6-9,250.0,"August 29, 1980",Xavier
Delonte West,2005,2012,G,6-4,180.0,"July 26, 1983",Saint Joseph's
Mario West,2008,2011,G,6-5,210.0,"June 19, 1984",Georgia Tech
Russell Westbrook,2009,2024,G,6-4,200.0,"November 12, 1988",UCLA
Andrew White,2018,2018,G,6-7,210.0,"June 16, 1993","Nebraska, Syracuse"
Coby White,2020,2024,G,6-5,195.0,"February 16, 2000",UNC
D.J. White,2009,2014,F,6-9,251.0,"August 31, 1986",Indiana
Derrick White,2018,2024,G,6-4,190.0,"July 2, 1994","Colorado-Colorado Springs, Colorado"
Jack White,2023,2023,F,6-7,225.0,"August 5, 1997",Duke
James White,2007,2013,G-F,6-7,200.0,"October 21, 1982","Florida, Cincinnati"
Okaro White,2017,2019,F,6-8,205.0,"August 13, 1992",Florida State
Royce White,2014,2014,F,6-8,270.0,"April 10, 1991",Iowa State
Isaiah Whitehead,2017,2018,G,6-4,213.0,"March 8, 1995",Seton Hall
Hassan Whiteside,2011,2022,C,7-0,265.0,"June 13, 1989",Marshall
Cam Whitmore,2024,2024,F,6-7,232.0,"July 8, 2004",Villanova
Greg Whittington,2021,2021,F,6-8,210.0,"February 7, 1993",Georgetown
Shayne Whittington,2015,2016,F-C,6-11,250.0,"March 27, 1991",Western Michigan
Joe Wieskamp,2022,2023,G,6-6,212.0,"August 23, 1999",Iowa
Aaron Wiggins,2022,2024,G,6-6,200.0,"January 2, 1999",Maryland
Andrew Wiggins,2015,2024,F-G,6-7,197.0,"February 23, 1995",Kansas
Lindell Wigginton,2022,2024,G,6-2,189.0,"March 28, 1998",Iowa State
C.J. Wilcox,2015,2017,G,6-5,195.0,"December 30, 1990",Washington
Chris Wilcox,2003,2013,F,6-10,221.0,"September 3, 1982",Maryland
Jacob Wiley,2018,2018,F,6-7,215.0,"September 4, 1994",Eastern Washington
Damien Wilkins,2005,2018,F-G,6-6,225.0,"January 11, 1980","NC State, Georgia"
Alan Williams,2016,2019,F-C,6-8,265.0,"January 28, 1993",UC Santa Barbara
Alondes Williams,2023,2024,G,6-4,210.0,"June 19, 1999","Triton College, Oklahoma, Wake Forest"
Brandon Williams,2022,2024,G,6-2,190.0,"November 22, 1999",Arizona
C.J. Williams,2018,2019,G,6-5,226.0,"February 6, 1990",NC State
Deron Williams,2006,2017,G,6-3,200.0,"June 26, 1984",Illinois
Derrick Williams,2012,2018,F,6-8,240.0,"May 25, 1991",Arizona
Donovan Williams,2023,2023,F,6-6,190.0,"September 6, 2001","Texas, UNLV"
Elliot Williams,2012,2016,G,6-5,190.0,"June 20, 1989","Duke, Memphis"
Grant Williams,2020,2024,F,6-6,236.0,"November 30, 1998",Tennessee
Jalen Williams,2023,2024,G,6-5,195.0,"April 14, 2001",Santa Clara
Jason Williams,1999,2011,G,6-1,190.0,"November 18, 1975","Marshall, Florida"
Jawad Williams,2009,2011,F,6-9,218.0,"February 19, 1983",UNC
Jaylin Williams,2023,2024,F,6-9,240.0,"June 29, 2002",Arkansas
Jeenathan Williams,2023,2024,G,6-5,205.0,"February 12, 1999",Buffalo
Johnathan Williams,2019,2020,F,6-9,228.0,"May 22, 1995","Missouri, Gonzaga"
Jordan Williams,2012,2012,F,6-10,260.0,"October 11, 1990",Maryland
Kenrich Williams,2019,2024,G-F,6-6,210.0,"December 2, 1994",TCU
Lou Williams,2006,2022,G,6-2,175.0,"October 27, 1986",
Malik Williams,2024,2024,C,6-11,250.0,"August 26, 1998",
Mark Williams,2023,2024,C,7-0,241.0,"December 16, 2001",Duke
Marvin Williams,2006,2020,F,6-8,237.0,"June 19, 1986",UNC
Matt Williams,2018,2018,G,6-5,210.0,"October 14, 1993",Central Florida
Mo Williams,2004,2016,G,6-1,198.0,"December 19, 1982",Alabama
Patrick Williams,2021,2024,F,6-7,215.0,"August 26, 2001",Florida State
Reggie Williams,2010,2017,F,6-6,205.0,"September 14, 1986",Virginia Military Institute
Robert Williams,2019,2024,C-F,6-9,237.0,"October 17, 1997",Texas A&M
Sean Williams,2008,2012,C-F,6-10,235.0,"September 13, 1986",Boston College
Shawne Williams,2007,2015,F,6-9,225.0,"February 16, 1986",Memphis
Shelden Williams,2007,2012,F,6-9,250.0,"October 21, 1983",Duke
Terrence Williams,2010,2013,F,6-6,220.0,"June 28, 1987",Louisville
Troy Williams,2017,2019,F,6-7,218.0,"December 30, 1994",Indiana
Vince Williams Jr.,2023,2024,F,6-4,205.0,"August 30, 2000",VCU
Ziaire Williams,2022,2024,F,6-9,215.0,"September 12, 2001",Stanford
Nigel Williams-Goss,2020,2020,G,6-2,190.0,"September 16, 1994","Gonzaga, Washington"
Zion Williamson,2020,2024,F-C,6-6,284.0,"July 6, 2000",Duke
D.J. Wilson,2018,2024,F,6-10,231.0,"February 19, 1996",Michigan
Jalen Wilson,2024,2024,F,6-8,225.0,"November 4, 2000",Kansas
Jamil Wilson,2018,2018,F,6-7,230.0,"November 21, 1990","Oregon, Marquette"
Kyle Wiltjer,2017,2017,F,6-10,240.0,"October 20, 1992","Kentucky, Gonzaga"
Dylan Windler,2021,2024,G-F,6-6,196.0,"September 22, 1996",Belmont
Justise Winslow,2016,2023,F,6-6,222.0,"March 26, 1996",Duke
Cassius Winston,2021,2022,G,6-1,185.0,"February 28, 1998",Michigan State
James Wiseman,2021,2024,C,7-0,240.0,"March 31, 2001",Memphis
Jeff Withey,2014,2018,C,7-0,231.0,"March 7, 1990",Kansas
Nate Wolters,2014,2018,G,6-4,190.0,"May 15, 1991",South Dakota State
Isaiah Wong,2024,2024,G,6-4,184.0,"January 28, 2001",Miami (FL)
Christian Wood,2016,2024,F,6-8,214.0,"September 27, 1995",UNLV
Robert Woodard II,2021,2022,F,6-6,235.0,"September 22, 1999",Mississippi State
Metta World Peace,2000,2017,F,6-7,260.0,"November 13, 1979",St. John's
Antoine Wright,2006,2011,G-F,6-7,210.0,"February 6, 1984",Texas A&M
Brandan Wright,2008,2018,F-C,6-10,210.0,"October 5, 1987",UNC
Chris Wright,2012,2014,F,6-8,226.0,"September 30, 1988",Dayton
Chris Wright,2013,2013,G,6-1,210.0,"November 4, 1989",Georgetown
Delon Wright,2016,2024,G,6-5,185.0,"April 26, 1992",Utah
Dorell Wright,2005,2015,F-G,6-9,205.0,"December 2, 1985",
Julian Wright,2008,2011,F,6-8,225.0,"May 20, 1987",Kansas
McKinley Wright IV,2022,2023,G,6-0,196.0,"October 25, 1998",Colorado
Moses Wright,2022,2022,F,6-9,233.0,"December 23, 1998",Georgia Tech
Justin Wright-Foreman,2020,2020,G,6-0,190.0,"October 27, 1997",Hofstra
Tony Wroten,2013,2016,G,6-6,205.0,"April 13, 1993",Washington
Guerschon Yabusele,2018,2019,F,6-8,260.0,"December 17, 1995",
Gabe York,2022,2023,G,6-3,185.0,"August 2, 1993",Arizona
James Young,2015,2018,G-F,6-6,215.0,"August 16, 1995",Kentucky
Joe Young,2016,2018,G,6-2,180.0,"June 27, 1992","Houston, Oregon"
Nick Young,2008,2019,G-F,6-7,210.0,"June 1, 1985",USC
Sam Young,2010,2013,F,6-6,220.0,"June 1, 1985",Pitt
Thaddeus Young,2008,2024,F,6-8,235.0,"June 21, 1988",Georgia Tech
Trae Young,2019,2024,G,6-1,164.0,"September 19, 1998",Oklahoma
Omer Yurtseven,2022,2024,C,7-0,264.0,"June 19, 1998","NC State, Georgetown"
Cody Zeller,2014,2024,C-F,6-11,240.0,"October 5, 1992",Indiana
Luke Zeller,2013,2013,C,6-11,245.0,"April 7, 1987",Notre Dame
Tyler Zeller,2013,2020,F-C,7-0,253.0,"January 17, 1990",UNC
Stephen Zimmerman,2017,2017,C,7-0,240.0,"September 9, 1996",UNLV
Paul Zipser,2017,2018,G-F,6-8,215.0,"February 18, 1994",
Ante Žižić,2018,2020,F-C,6-10,266.0,"January 4, 1997",
Ivica Zubac,2017,2024,C,7-0,240.0,"March 18, 1997",
